Loading dataset...
Training BDT
Loaded parameter file: /home/llr/t2k/giampaolo/srn/ntag-mva/models/BDT/grid_0_extend/params/038.p
Built BDT with these hyperparameters:
{'learning_rate': 0.3182960289073319, 'n_estimators': 920.0, 'subsample': 0.8890679371308995, 'maximum_depth': 8}
[06:32:39] WARNING: /workspace/src/learner.cc:686: Tree method is automatically selected to be 'approx' for faster speed. To use old behavior (exact greedy algorithm on single machine), set tree_method to 'exact'.
[220]	validation_0-mae:0.037752	validation_0-auc:0.983677	validation_1-mae:0.038034	validation_1-auc:0.983673
[221]	validation_0-mae:0.037741	validation_0-auc:0.983679	validation_1-mae:0.038023	validation_1-auc:0.983676
[222]	validation_0-mae:0.037752	validation_0-auc:0.983684	validation_1-mae:0.038035	validation_1-auc:0.98368
[223]	validation_0-mae:0.037743	validation_0-auc:0.983706	validation_1-mae:0.038025	validation_1-auc:0.983698
[224]	validation_0-mae:0.037733	validation_0-auc:0.983712	validation_1-mae:0.038016	validation_1-auc:0.983705
[225]	validation_0-mae:0.037714	validation_0-auc:0.983716	validation_1-mae:0.037998	validation_1-auc:0.983709
[226]	validation_0-mae:0.037709	validation_0-auc:0.98372	validation_1-mae:0.037992	validation_1-auc:0.983713
[227]	validation_0-mae:0.0377	validation_0-auc:0.983722	validation_1-mae:0.037983	validation_1-auc:0.983715
[228]	validation_0-mae:0.037686	validation_0-auc:0.983727	validation_1-mae:0.037968	validation_1-auc:0.983719
[229]	validation_0-mae:0.037694	validation_0-auc:0.983728	validation_1-mae:0.037977	validation_1-auc:0.98372
[230]	validation_0-mae:0.037694	validation_0-auc:0.983728	validation_1-mae:0.037977	validation_1-auc:0.98372
[231]	validation_0-mae:0.037691	validation_0-auc:0.98373	validation_1-mae:0.037974	validation_1-auc:0.983722
[232]	validation_0-mae:0.037687	validation_0-auc:0.983735	validation_1-mae:0.03797	validation_1-auc:0.983726
